"7:58 AM · Oct 26, 2023",@StaceyMonette27,"The Libs have employed people lining up at food banks, defaulting on mortgages, unable to buy/rent homes & their children’s children will still be paying for the Liberal debt.

Pierre discussed crypto, bought a shawarma with bitcoin & this is Mark’s “gotcha”. 🤪
#cdnpoli",0,angry
"2:23 AM · Oct 26, 2023",@OCryptoTroll,"Don't tell me you're not buying $HBAR at $0.05 👀👀👀

Your biggest mistake in this bull run fren.
#HBAR #hedera #hbarbarians #Web3 #Bitcoin #BTC #crypto #cryptocurrency #BitcoinETF",0,sad
"8:34 PM · Oct 23, 2023",@AgentAtharva,"😱 Beware of ""Pump and Dump"" schemes in cryptocurrency . 
#cryptoalert #cryptocurrency",0,fear
"8:44 AM · Oct 24, 2023",@_xohfieeeee,"Is this the bull market!????
🥺🥺
#Bitcoin #Ethererum #cryptocurrency #pump #DeFi",0,fear
"7:32 AM · Oct 24, 2023",@CallBotCrypto,"How could AI foresee this? #BTC

📊📈Inside the Brain of CallBot💪🚀

CallBot's approach to trading? Data first, intuition second 🧮

#bullish #CEX #ethereum #cryptocurrency #INJ",1,surprise
"7:39 AM · Oct 24, 2023",@shubhamdotexe,"Bitcoin breaks $33K for the first time in 2023! 🚀
This is a bullish sign for the cryptocurrency market, and it could lead to further gains in the coming weeks and months. #Bitcoin",1,surprise
"9:05 PM · Oct 25, 2023",@MyChartsin,"#BitCoin #btc Red candle 👎 possible tomorrow as per #gann & #astrology pressure date
(Price action support in intraday with Stop-Loss Must be in trading)

#cryptocurrency",0,fear
"6:30 AM · Oct 26, 2023",@MoneyDLuffy0x,"Did you position yourself correctly? 📈 

""Ants will die"" 🐜 - Arthur the Aardvark

$ARDVRK - 
@AardvarkCoin


#Crypto #CryptoCurrency #CryptoTwitter #CryptoX",0,sad
"6:30 AM · Oct 26, 2023",@MineSum20,"👀 Total #cryptocurrency market cap testing this long term resistance line on the weekly chart.  I wanna know what you think, will it get rejected or break through? 
@BchainBasement
 
@DiscoverCrypto_
  #Bitcoin
",1,surprise
"9:23 PM · Oct 25, 2023",@EasyPolygon,"Breaking: $pndc breaks 250 and now less than 2x away from its all time high! 🐸🤝🟪

Big news for the 
@Pond0x
! 🐸❤️

$pepe #cryptocurrency #blockchain",1,surprise
"8:27 PM · Oct 25, 2023",@iydaxunweil,"Amazing news! The future of cryptocurrency is looking brighter than ever, with Bitcoin's potential to revolutionize the financial world",1,surprise
"2:37 AM · Oct 24, 2023
",@206cm,"🚀 Exciting news in the world of #Crypto! Carbify is on the verge of hitting the $2 mark! 📈 Keep an eye on this promising project as it climbs to new heights! 💸💎 #Carbify #Cryptocurrency 
@Carbify_io",1,surprise
"22:52 AM · Oct 25, 2023
",@cryptoai_signal,That's great news! 🚀 Ferrari embracing cryptocurrency is a big step forward. Can't wait for other luxury brands to follow suit. #Cryptocurrency #Ferrari #LuxuryCars,1,surprise
"2:26 AM · Oct 26, 2023",@AntiSecCoin,"🛡️ Ready to take on #SEC! Let the battle begin! 💪🏽
Latest News: 
Gary: ""Cryptocurrency is an area filled with fraud, scams, bankruptcy, and money laundering."" 😂🤥
 #ChallengeAccepted #BringItOn
#FireGaryGensler",0,fear
"4:33 AM · Oct 25, 2023",@DeniseOdon26352,Crypto's volatility keeps us on our toes! #Bitcoin #Cryptocurrency,0,fear
"9:56 PM · Oct 24, 2023",@BlockchainSoft,"🚀 #PEPE, the memecoin that keeps surprising, surged over 30% today! Find out how a massive token burn and anticipation of BlackRock's BTC ETF approval contributed to its impressive rally. Check out the full story here: https://ift.tt/xRAF9dk #crypto #cryptocurrency #memecoins",1,surprise
"22:05 PM · Oct 24, 2023",@tradensea,"These are the bitcoin price predictions for 2024. What do you think? 👀
Do you agree with this? 🧐
#tradensea #crypto #cryptocurrency #cryptotrading #trade #btc #bitcoin #blokchain #invest",0,fear
"9:49 PM · Oct 25, 2023",@MetaApeMilitia2,💥 Matrixport reaffirms its 2023-year-end target of $45K for Bitcoin! 🚀📈 This bold prediction sets the stage for an exciting future for #cryptocurrency enthusiasts. Read more about it here: https://ift.tt/DIJOimc. #Bitcoin #Matrixport #Crypto #Blockchain,1,surprise
